decade,name,year,municipality
1921,"Aarnseth, Fredrik Olsen",1872,Malung
1921,"Adler, Nils",1878,
1921,"Adelswärd, Axel Theodor",1860,
1921,"Alexanderson, Nils Erik",1875,Stockholm
1921,"Alexandersson, Adolf Edvin",1875,
1921,"Alkman, Edvard Petrus",1867,Stenkullen
1921,"Almkvist, Nils Johan",1875,
1921,"Alströmer, Carl Thore",1879,Mjörnsjö
1921,"Ander, Johan August",1869,Hårsbäck
1921,"Anderson, Anders",1874,Råstock
1921,"Anderson, Arvid",1875,
1921,"Anderson, Carl Arvid",1887,Storegården
1921,"Andersson, Albin",1873,
1921,"Andersson, Anders Birger",1878,
1921,"Andersson, Carl Filip",1865,Falkenberg
1921,"Andersson, Karl Olof",1888,Dunker
1921,"Andersson, Carl Walter",1886,
1921,"Andersson, Axel",1864,
1921,"Andersson, Edoff Emanuel",1892,Stockholm
1921,"Andersson, Elof Bernhard",1873,Flätenborg
1921,"Andersson, Emil",1876,
1921,"Andersson, Henrik",1880,Boda
1921,"Andersson, Herman",1869,Grimbo
1921,"Andersson, Henning Gösta",1877,Kolstad
1921,"Andersson, Jonas",1873,
1921,"Andersson, Jonas Erik",1881,Övanmyra
1921,"Andersson, Karl Emil",1869,Eliantorp
1921,"Andersson, Karl Teodor",1882,Katrineholm
1921,"Andersson, Karl Magnus",1853,Milsmaden
1921,"Andersson, Linus",1875,
1921,"Andersson, Olof",1887,
1921,"Andersson, Pehr August",1863,Knäppinge
1921,"Andersson, Per",1876,
1921,"Andersson, Sven Erik",1870,Hägelåkra
1921,"Antonsson, Anders",1856,Malmö
1921,"Aronson, Ernst Karl",1876,Hedemora
1921,"Asplund, Carl Immanuel",1872,Luleå
1921,"Barnekow, Kjell Ragnar",1877,
1921,"Barthelson, Clemens Gustaf",1854,Halna
1921,"Friis, Johan Gabriel",1862,Söderö
1921,"Bengtsson, Carl Emil",1875,Kullen
1921,"Bengtsson, Sven",1866,Norup
1921,"Berge, Nils Adolf",1869,Hagalund
1921,"Berglund, Jan Erik",1864,Enskede
1921,"Bergman, Ingebrikt",1864,Tännäs
1921,"Bergqvist, Bengt Jakobsson",1860,
1921,"Bergström, David Kristian",1858,
1921,"Bergström, Kristoffer",1880,Högsön
1921,"Bergström, Per Albert",1869,Norrköping
1921,"Bergström, Petrus",1881,Bäckland
1921,"Bernström, Erik Andreas",1875,
1921,"Beskow, Einar August",1880,
1921,"Billqvist, Johan Wilhelm",1867,Skövde
1921,"Bjurström, Theodor",1874,Emanuel
1921,"Björck, Karl Anders",1888,
1921,"Beskow, Gunnar Wilhelm",1879,
1921,"Beskow, Knut Jakob",1876,Hälsingborg
1921,"Bissmark, Georg Fredrik",1871,Halmstad
1921,"Björk, Nils",1866,Tryde
1921,"Björklund, Lars Anton",1881,Hässleholm
1921,"Björkman, Alexis",1853,
1921,"Björkman, Carl Albin",1870,Länghem
1921,"Björkman, Gustaf Adolf",1871,Norrköping
1921,"Björling, Carl Joel",1875,
1921,"Björnberg, Karl Eric",1872,Enköping
1921,"Björnsson, Johan Edvard",1878,Borås
1921,"Blomquist, Josef Herman",1879,Växjö
1921,"Block, Fredrik Ernst",1867,Stockholm
1921,"Boberg, Carl Gustaf",1859,
1921,"Bodin, Lars Gunnar",1872,
1921,"Boman, Gustaf",1861,
1921,"Bondeson, Nils Anton",1872,
1921,"Borell, Karl Gustaf",1869,
1921,"Borg, Karl August",1866,
1921,"Borge, Oscar Fredrik",1862,Stockholm
1921,"Borggren, Lars",1876,Ängelholm
1921,"Branting, Karl Hjalmar",1860,Stockholm
1921,"Bratt, Ivan",1878,Stockholm
1921,"Bruhn, Otto August",1872,Skepparslöv
1921,Jonas Ludvig,1876,
1921,"Bäckström, Werner",1866,Bjursholm
1921,"Bärg, Anders Johan",1870,Katrineholm
1921,"Carleson, Axel Oskar",1870,Stockholm
1921,"Carlson, Carl Vilhelm",1876,Mölndal
1921,"Carlsson, Carl August",1873,Gävle
1921,"Carlsson, Hjalmar",1886,Ystad
1921,"Carlsson, Johan",1864,Hällsbäck
1921,"Carlsson, Olof",1872,Stockholm
1921,"Carlsson, Johan Gustaf",1884,Ystad
1921,"Clason, Samuel",1867,Stockholm
